realistic,investigative,artistic,social,enterprising,conventional,extraversion,agreeableness,conscientiousness,emotional_stability,openness,major
1.75,4.375,2.375,2.75,1.25,1.25,-1,1,3,2,6,nursing
3.125,4.0,4.625,4.25,1.625,2.125,-4,5,-2,-3,2,literature
2.25,2.75,2.625,2.5,2.0,2.625,-5,0,1,2,1,math
1.0,1.375,1.0,2.5,1.0,2.25,0,3,2,0,0,family resource management
2.375,2.125,3.25,3.75,3.0,3.625,-4,4,5,4,6,counselling
1.5,2.75,3.375,3.625,3.5,1.25,1,0,6,6,5,business
3.25,3.625,4.75,4.625,4.875,4.125,5,4,6,1,6,communication
4.5,2.75,3.5,3.625,3.25,4.5,1,3,2,-1,4,information technology
1.375,2.375,3.875,3.625,3.25,3.75,0,2,1,-3,5,accounting
1.25,1.125,1.625,3.25,1.125,1.0,-2,5,6,1,2,psychology
1.0,2.25,3.875,3.625,1.25,1.0,1,-1,-1,-3,5,music
1.625,3.0,3.25,4.125,3.125,2.875,1,1,5,5,6,prenursing
1.25,2.5,3.25,4.75,4.75,3.5,-6,0,-2,-6,6,literature
1.625,3.75,1.25,4.0,2.0,4.25,4,3,5,3,2,public health
1.375,3.875,3.875,4.375,3.5,5.0,0,4,0,-1,6,civil engineering
2.0,2.375,2.875,3.25,2.75,2.875,1,5,5,3,6,social work
2.625,1.75,3.0,2.875,2.875,2.0,6,-1,-1,-1,0,art
2.0,3.5,1.625,1.5,1.375,3.5,-6,-5,3,5,0,sociology
1.0,2.0,1.5,2.5,2.0,3.5,0,-1,5,-4,-3,culinary
2.75,3.0,2.875,3.875,2.625,3.375,0,3,5,0,0,psychology
1.125,2.375,3.5,3.375,1.5,1.0,-3,2,-2,-6,4,anthropology
2.0,4.625,4.25,3.75,2.625,3.25,-3,0,4,1,1,psychology
1.5,2.375,3.25,4.375,4.125,4.5,-3,2,6,3,1,it
1.875,1.5,3.25,3.0,2.875,2.0,-1,0,-2,-2,3,
2.875,3.0,4.25,3.625,3.5,2.625,-2,3,0,0,4,business admin
1.0,2.625,2.125,3.375,1.5,2.625,-1,6,6,5,3,nursing
1.625,2.875,3.25,3.125,2.25,1.875,0,1,-6,-5,4,psychology
2.375,3.25,3.125,2.75,2.125,1.75,1,-1,2,-2,5,clinical psychology
1.375,3.875,3.375,3.375,2.25,2.375,-2,3,3,3,3,psychology
1.25,3.875,3.375,3.125,2.75,2.125,-3,2,0,1,2,english
1.625,4.5,4.375,3.875,2.125,1.0,4,3,4,4,1,foreign language
2.75,3.375,4.375,3.0,4.375,2.5,-1,3,0,1,5,science forensic
3.75,4.25,4.25,3.125,4.0,1.875,6,1,6,6,3,engineering
1.5,4.25,2.875,4.0,3.5,1.75,5,0,6,1,6,law
3.0,3.5,3.125,2.25,4.0,2.375,4,2,4,-1,6,economics
1.75,2.125,2.75,2.875,2.125,2.25,-4,2,0,-1,2,business management
2.625,1.125,2.125,4.875,2.25,1.375,6,5,4,-1,4,computer engineer
1.625,4.125,4.125,2.125,1.875,1.25,-6,0,6,4,5,chemical engineering
4.0,5.0,4.75,4.75,4.5,4.5,0,1,6,2,6,history
2.5,3.75,2.5,3.0,2.25,2.375,-3,2,1,-4,1,english
2.75,3.0,3.75,3.5,3.5,2.75,2,1,3,4,4,electronics
1.625,3.375,2.25,2.75,2.125,3.125,-4,-3,6,4,2,english
1.25,1.875,2.0,2.625,3.5,2.25,3,2,4,0,3,hospitality
1.25,1.625,1.75,2.0,1.75,2.125,-1,2,6,0,0,information systems management
1.875,3.875,4.0,4.25,2.375,1.25,3,2,1,0,6,drama
3.0,3.375,3.5,3.875,3.125,2.625,5,1,4,-2,4,architectural studies
1.0,1.0,3.75,4.5,4.25,1.5,1,0,0,0,1,psychology
2.25,3.875,2.875,3.0,2.0,2.625,-3,0,3,-1,2,political science
2.25,2.5,2.75,2.5,2.875,2.125,3,0,2,4,0,information technology
2.0,4.375,2.75,4.625,2.25,2.0,-5,1,0,0,0,nursingpsychology
2.375,4.25,2.625,4.875,2.625,2.75,3,6,5,3,1,psychology
2.875,2.375,2.0,3.125,3.375,2.625,1,4,-2,6,1,pedagogy
1.125,3.25,4.875,4.0,3.75,1.125,1,0,3,-1,6,audiovisual
2.125,2.75,2.5,2.0,2.0,2.125,-1,-1,-1,3,-1,finance
1.625,2.25,1.375,2.25,1.5,1.375,2,1,4,1,1,chemistry
2.25,3.125,4.0,2.375,3.125,2.75,-1,3,3,-1,3,business administration
1.0,3.625,2.5,3.125,1.875,1.375,2,2,4,4,2,psychology
1.625,2.125,3.125,4.375,1.875,1.625,-5,0,4,-6,5,psychology
1.75,2.375,1.875,1.875,2.0,3.75,1,-3,5,0,0,information technology
1.375,4.25,4.5,1.375,1.125,1.625,-6,-1,-3,-3,4,biology
1.0,1.75,1.25,3.25,1.0,1.25,6,3,6,5,5,exercise science
1.5,3.375,2.625,4.125,3.125,2.375,2,6,5,4,4,social work
2.0,1.25,1.5,2.25,2.125,3.875,-3,4,6,6,-1,computer science
1.625,3.5,2.375,3.625,2.125,1.875,0,2,6,5,1,psychology
3.375,2.75,2.75,3.0,3.5,3.75,-4,-1,3,-1,-5,phsycology
1.0,1.0,1.375,2.5,1.25,1.25,-3,6,6,2,2,psychology
1.25,3.0,1.375,4.125,2.375,3.5,-1,6,6,5,0,sociology
2.625,4.625,4.25,4.5,3.375,3.875,6,6,4,0,6,civil engineering
2.0,4.0,1.75,3.0,1.5,1.125,-2,5,3,-1,5,psychology
2.625,4.125,5.0,4.75,4.0,2.875,-5,6,0,0,-2,social sciences
1.25,3.375,3.75,4.375,2.25,2.125,-3,3,6,5,5,organizational management
1.25,2.25,4.125,4.125,2.25,2.25,0,3,2,4,1,art
1.625,4.375,3.5,3.0,2.75,1.5,4,5,1,2,5,business
2.0,2.375,2.75,3.0,2.125,2.0,-2,2,4,2,2,insurance
2.25,3.75,2.25,1.5,1.75,2.125,4,1,-3,-3,1,computer science
1.375,4.125,3.875,4.0,2.375,1.0,-3,1,1,1,4,english
4.25,3.25,3.625,3.375,2.625,3.25,-2,1,-2,2,2,mining engineering
1.0,2.625,1.25,2.25,2.5,2.75,0,4,5,0,2,anthropology
2.5,3.125,2.875,3.875,2.875,2.25,3,5,0,-1,-3,finance
3.125,4.25,2.75,3.625,3.5,3.375,5,0,4,1,4,occupational therapy
1.0,3.375,2.0,3.25,1.75,1.125,-5,5,5,-2,1,science
1.0,3.875,3.375,3.375,1.75,1.75,1,2,0,0,4,biology
1.5,2.375,2.375,1.75,1.625,1.5,4,0,2,2,5,psychology
1.25,1.625,3.5,3.5,1.375,1.375,-4,2,-2,1,5,english
2.625,2.25,3.25,3.75,2.875,2.875,3,-1,0,-2,3,electronic engineering
1.25,1.25,3.125,3.625,4.5,3.375,4,4,5,-6,3,business management
2.5,2.25,2.125,4.875,4.25,3.875,0,2,2,-2,2,social work
2.0,2.125,4.25,2.5,3.125,2.0,-1,0,1,2,5,economics
1.125,3.25,4.625,4.625,1.75,1.0,3,5,5,6,5,social work
2.0,3.75,2.5,3.0,2.5,2.75,-2,4,4,1,1,political science
2.375,3.0,3.75,4.5,3.375,2.625,2,6,4,6,5,arts and design
3.0,4.0,3.875,3.875,3.375,1.125,-1,-2,3,-1,0,psychology
1.0,4.0,3.25,3.25,1.25,2.0,5,5,4,4,4,psychology
2.0,4.375,3.375,3.875,4.125,3.125,5,3,2,-1,5,marketing
2.0,2.375,2.75,4.875,3.0,3.0,2,2,6,3,3,early childhood education
1.625,3.25,2.75,3.375,1.5,2.625,-4,2,5,1,3,psychology
1.0,1.25,1.125,1.5,3.875,2.625,1,-1,4,2,1,finance
2.5,2.375,4.625,4.25,2.875,1.75,-6,2,1,-1,6,criminology
1.625,3.25,4.5,3.125,1.75,1.0,0,4,1,5,6,leadership
1.125,1.375,2.125,4.25,1.75,3.25,4,0,2,0,5,early childhood education
3.875,3.375,3.25,3.375,3.5,4.125,1,0,0,-1,2,computer engineering technology
2.25,3.5,4.875,4.625,3.5,1.375,6,4,-2,3,0,music
3.5,3.25,2.125,3.625,3.25,2.375,2,4,-1,2,0,pharmacy
1.625,2.5,4.125,4.0,2.875,4.25,4,6,6,1,6,general studies
2.625,5.0,3.375,4.5,1.625,1.375,0,5,-2,4,5,environmental science
1.5,3.625,2.25,4.625,2.5,2.25,3,2,6,5,4,nursing
1.125,2.375,4.5,4.125,2.5,4.125,4,6,5,1,6,general studies
1.375,3.75,3.0,4.625,2.375,1.625,-2,5,1,3,2,psychology
1.875,3.625,2.375,3.5,2.25,2.75,-3,4,0,-1,1,psychology
1.0,2.125,2.875,3.625,3.125,1.375,3,-1,-1,3,5,anthropology
1.75,2.0,3.75,3.25,3.625,3.0,1,2,2,0,4,business
1.0,1.0,2.5,1.125,1.75,1.25,1,-6,-2,0,4,film
2.125,3.625,4.75,2.25,2.75,1.875,0,-3,-6,-4,5,music
1.0,1.375,1.75,3.25,2.0,2.5,-6,6,6,-4,4,psychology
3.375,4.375,4.5,4.5,4.125,3.25,1,2,3,-3,2,early childhood education
1.625,4.875,1.875,5.0,1.875,3.875,4,2,6,1,5,biology
1.875,2.5,3.625,2.625,3.25,2.0,2,5,6,4,4,business
1.5,4.125,4.5,2.125,2.75,1.25,1,-2,-6,-1,6,music
2.0,2.25,2.625,2.75,3.25,2.875,1,3,4,5,5,finance
1.0,3.625,1.875,3.75,1.125,1.25,3,5,6,1,5,psychology and counseling
2.0,3.625,4.25,3.375,2.75,2.0,4,1,5,-2,3,communication
2.25,3.5,3.375,3.625,3.25,2.875,0,0,-3,4,3,biology
2.375,1.75,1.625,4.125,1.5,1.625,-6,5,5,0,-3,secondary education
1.25,3.875,2.125,3.0,1.5,2.125,-2,6,3,-4,5,biology
1.25,3.125,3.0,2.0,1.375,2.375,-4,-1,-2,-1,6,philosophy
1.0,3.25,2.5,3.625,2.5,1.0,0,1,5,-4,5,nursing
1.0,1.0,2.75,4.0,2.25,1.0,-1,1,5,-5,3,teacher
1.625,2.125,2.625,3.5,3.625,2.375,3,2,2,-1,5,psycology
1.0,2.375,1.625,3.875,2.0,1.375,-4,6,5,-3,2,psychology
2.0,3.5,3.875,4.125,2.625,2.0,0,2,3,0,6,law
3.125,2.625,3.5,4.75,4.75,5.0,6,6,6,6,6,psychology
1.875,3.0,4.25,3.875,3.125,2.125,4,-1,2,0,2,communication
1.25,3.875,3.125,3.875,1.75,3.375,-2,3,4,6,2,psychology
3.25,3.375,4.0,1.875,2.625,3.0,-2,-1,0,1,5,fine arts
3.125,4.125,4.25,3.625,2.25,2.125,-3,1,4,0,6,english
1.125,3.125,3.375,2.75,1.375,1.0,-4,2,-4,5,4,nursing
1.0,2.125,1.875,3.375,1.5,1.0,-4,6,1,5,5,psychology
1.25,2.625,3.375,2.375,2.5,1.75,5,2,-6,0,6,liberal arts
2.25,1.875,1.625,1.125,1.875,2.75,-5,0,-4,-3,1,computer science
1.5,2.125,4.0,4.875,2.75,2.875,5,0,6,2,3,political science
5.0,4.75,5.0,4.75,5.0,5.0,4,3,6,6,6,psychology
2.75,4.25,4.0,3.625,1.5,1.75,-1,0,-2,-1,3,biology
3.625,2.0,2.125,1.875,3.0,2.125,-2,5,2,1,0,computer engineering
1.875,4.0,3.5,2.0,1.0,1.25,-6,0,-5,1,4,public health
2.5,4.5,2.0,3.75,3.125,2.25,1,-5,1,0,4,business finance
2.0,2.25,2.0,4.0,1.75,2.125,0,1,4,0,2,health promotion
1.0,2.125,3.75,2.625,1.125,1.0,-1,5,1,-2,5,criminal justice
0.875,3.125,3.875,3.0,2.375,1.0,6,3,3,0,3,art history
2.0,4.5,3.125,4.625,3.875,2.0,6,2,3,4,6,tourism
1.25,2.625,1.75,3.625,1.25,1.75,-2,3,2,-5,-2,psychology
2.5,4.25,3.25,3.5,1.75,2.25,-5,0,5,1,4,medical
2.0,3.25,2.0,2.25,1.875,1.125,0,1,5,2,4,general studies
3.875,4.5,4.25,4.5,2.625,1.375,0,2,3,1,1,speech language pathology
1.375,2.375,2.625,1.75,1.625,1.5,-2,0,1,2,4,design
4.25,4.25,4.75,3.25,1.5,2.25,4,2,5,5,6,civil engineering
1.0,4.75,3.375,3.75,2.625,1.5,0,3,3,0,0,criminal justice
1.875,3.75,2.875,3.5,3.875,2.375,2,0,3,1,1,nursing
1.375,3.75,4.0,3.75,3.125,2.75,-3,2,4,-1,3,psychology
2.125,3.75,4.5,4.5,2.375,1.0,6,6,2,6,6,biology
2.625,4.125,3.75,3.875,2.875,3.625,2,1,0,-2,3,nursing
1.0,3.125,2.375,4.0,1.5,1.375,6,2,0,-3,4,nursing
1.25,1.5,1.375,2.75,2.375,1.5,5,1,4,4,-1,psychology
2.0,3.625,2.25,3.125,1.75,2.125,-3,2,6,-2,4,journalism
2.125,2.75,3.125,3.5,3.125,2.875,-2,0,-2,-2,1,psychology
2.25,2.875,3.125,4.25,2.75,3.5,0,5,-1,3,1,biomedical engineering
1.5,3.0,1.125,3.5,3.125,4.25,-2,4,2,0,-1,human and organizational development
1.5,5.0,3.625,2.25,2.375,2.5,5,-5,-3,0,4,biology
1.125,1.375,4.0,2.875,3.0,2.875,1,-2,6,1,6,psychology
1.5,2.375,2.5,2.75,3.125,2.25,1,1,0,4,0,psychology
2.625,3.375,3.125,1.625,2.0,3.0,-1,-1,3,-2,0,psychology
1.875,2.75,4.0,3.25,4.0,2.5,2,0,0,-1,4,accounting
1.0,2.25,4.625,4.125,2.75,2.0,1,6,-3,2,5,communications
3.375,2.0,2.375,4.25,3.625,3.75,5,1,5,4,4,construction management
2.5,4.625,3.75,2.625,3.0,2.375,2,-1,4,2,4,molecular biology
1.25,1.5,2.625,2.625,2.125,1.75,-3,0,-1,-4,4,sociology
2.625,4.25,4.5,3.5,2.875,2.75,-2,2,-4,0,6,architecture
3.125,4.5,4.875,4.25,4.75,2.0,1,0,5,1,6,physiology
3.625,4.875,3.5,4.0,2.0,2.875,1,0,1,0,4,biology
1.625,3.625,4.375,3.0,3.25,2.375,2,-3,-3,-6,1,art
1.75,2.5,3.0,3.0,2.5,1.875,1,-1,2,-1,1,crimonology
1.5,3.375,3.875,3.625,3.125,1.875,0,1,1,-1,4,psychology
1.5,1.75,2.75,1.5,2.25,2.5,-4,0,1,-2,3,international business
1.125,1.375,4.125,3.75,4.0,3.0,-2,3,5,0,-1,music
2.875,2.25,2.625,3.875,3.375,4.0,0,0,6,-1,6,human resources
1.0,3.625,3.625,3.25,1.5,2.125,-2,5,5,5,4,english
2.0,2.125,2.25,2.625,2.625,2.375,-2,0,-3,1,3,architecture
1.75,2.875,4.625,2.5,3.25,2.75,3,5,-3,-4,5,engineering
1.375,2.75,2.125,3.375,1.0,1.125,2,4,1,0,5,social work
1.625,2.375,1.625,2.0,3.25,2.25,4,0,2,-1,1,biology
2.5,2.5,2.375,3.25,3.0,4.5,-1,3,-3,0,1,commerce
3.375,4.0,4.375,1.25,1.5,2.25,-6,2,3,-1,5,english
3.875,4.625,4.0,4.625,4.5,3.75,5,3,6,0,5,psychology
1.625,1.625,1.75,4.625,3.75,3.25,-1,0,6,4,4,elementary education
1.875,1.125,4.375,2.875,1.125,1.125,-5,4,-1,0,2,architecture
1.25,1.625,3.125,4.375,3.125,3.0,0,2,5,4,2,psychology
1.25,3.5,1.75,3.375,1.75,2.5,-1,3,2,1,4,nursing
2.125,3.5,3.75,1.75,2.0,2.25,-3,0,3,0,2,engineering
1.375,1.625,1.875,3.5,3.625,2.75,3,4,6,4,1,psychology
1.0,2.5,2.375,4.125,2.375,1.5,5,2,2,-2,2,psychology
1.875,2.0,3.375,3.25,2.625,2.875,-1,2,4,0,4,psychology
1.25,3.5,3.125,2.875,1.75,2.0,-4,5,-2,-3,3,english
1.0,1.875,2.625,4.125,1.625,2.625,-4,5,6,1,1,counseling
2.0,2.0,1.5,3.25,1.0,1.0,1,2,6,4,-1,nursing
1.25,4.125,4.875,4.5,2.875,1.5,1,4,2,1,5,biological sciences
1.625,2.0,1.75,3.875,1.5,1.0,6,1,5,0,4,psychology
1.375,2.125,2.25,4.875,4.0,2.625,6,0,6,2,3,international relations
1.375,2.375,2.625,3.375,2.0,1.25,0,0,6,2,4,biomedical sciences
3.0,2.25,3.25,3.5,2.75,2.25,3,3,-3,-3,5,technical
2.25,1.25,4.25,3.25,3.375,2.5,2,-2,0,-3,4,psychology
1.25,2.375,1.875,3.875,3.25,3.125,0,1,1,-2,1,nursing
3.375,3.5,5.0,4.875,4.25,4.875,2,-1,6,5,6,nursing
1.875,4.125,2.875,1.875,1.25,1.875,-5,2,0,-3,2,geology
1.0,3.375,2.5,2.625,1.0,2.25,-2,1,-1,-2,5,liberal arts
1.75,1.75,4.0,2.75,2.75,2.5,-1,-2,0,5,2,psychology
2.375,4.375,4.25,2.625,1.625,1.5,-1,0,-6,5,6,computer science
1.375,3.875,2.25,4.25,3.625,1.5,5,4,4,4,6,nursing
2.0,2.0,3.0,4.5,3.5,3.75,0,6,5,-5,2,computer
2.625,4.625,4.0,4.75,3.75,3.625,1,3,2,3,6,microbiology
3.25,3.375,3.5,4.5,2.875,3.125,4,1,3,-5,4,environment
1.75,4.5,3.5,4.625,2.625,3.625,1,6,5,5,5,humanities
1.75,2.75,2.5,3.375,2.875,2.875,1,0,-1,0,0,food science and nutrition
1.0,4.25,2.0,4.375,2.125,2.0,-2,1,1,4,3,nursing
2.625,4.5,5.0,4.5,3.0,2.0,6,1,1,-1,6,nursing
1.125,3.25,2.25,3.125,1.375,2.75,-4,-4,6,-3,1,psychology
3.0,4.0,2.25,3.25,2.75,3.125,0,1,-1,4,-1,biology
1.75,3.25,3.875,3.5,1.25,1.25,-3,2,0,0,1,music
1.375,3.625,1.75,2.875,2.875,2.0,4,4,6,3,5,nursing
1.5,3.25,2.375,4.125,2.625,3.25,-2,4,5,2,0,nursing
1.5,4.625,2.625,3.875,3.875,4.125,5,0,2,0,5,biology
3.625,4.375,2.375,4.25,3.625,3.5,0,1,5,0,4,civil engineering
2.625,3.125,2.875,3.375,2.0,1.875,1,4,-1,6,4,psychology
1.5,5.0,4.5,5.0,3.0,2.0,0,5,6,4,6,nursing
1.0,1.0,3.25,3.25,3.375,1.75,-5,0,3,3,5,management
1.5,4.0,1.875,3.75,2.0,1.75,3,1,3,3,1,nursing
1.25,3.75,4.625,4.125,2.0,1.75,5,5,-4,-4,2,psychology
1.75,4.0,4.125,3.875,2.875,2.625,3,5,0,1,1,nursingpsychology
3.875,4.625,3.625,3.125,3.375,2.875,4,2,4,0,6,applied science
2.75,4.5,2.5,4.25,3.25,2.875,2,6,4,1,4,psychology
2.375,1.25,2.125,4.25,3.625,4.25,6,1,6,-3,5,business
3.375,2.0,3.75,4.375,3.375,3.0,-3,2,6,-2,4,english
1.625,1.25,3.625,4.375,1.5,1.75,0,-1,2,0,2,mass media
4.0,4.125,2.75,4.25,4.375,4.125,0,0,1,-2,3,computer science
1.875,2.75,2.125,3.875,1.75,3.125,0,4,5,4,-1,psychology
3.125,3.625,4.375,4.25,3.75,3.5,6,3,1,0,2,social studies
2.375,3.25,1.0,4.375,1.75,2.5,2,0,-1,4,-1,psychology
1.0,1.5,2.75,4.625,2.875,1.0,6,4,1,3,1,finance
1.625,3.875,4.375,4.5,2.375,2.5,3,0,1,0,5,medical
1.0,1.0,1.0,1.0,1.0,1.375,-6,0,-5,-1,2,computer science
1.375,2.0,3.0,3.375,3.75,2.0,-2,4,2,1,1,english
2.375,4.125,3.5,3.25,1.125,1.5,-1,5,-2,1,5,studio art
1.5,2.5,1.0,3.0,1.0,1.5,1,-2,6,5,6,law
1.0,0.875,1.5,4.0,2.375,1.375,5,3,5,1,3,human services
1.5,4.125,2.5,3.375,2.25,3.0,-1,2,1,-1,3,psychology
1.75,1.125,1.625,3.125,2.625,2.75,0,2,5,-2,0,physical therapy assistant
1.0,1.75,1.875,2.875,2.125,1.0,-1,-2,2,4,2,european studies
0.875,1.0,1.5,1.125,2.125,1.0,-4,6,6,1,2,english
2.375,3.75,1.875,3.875,1.875,2.625,0,0,4,2,3,nursing
2.375,4.0,3.625,3.875,3.375,1.875,6,-1,3,4,6,communications and marketing
3.75,2.375,3.0,2.5,2.875,1.625,-6,4,4,3,1,health admin
3.625,3.375,3.25,4.125,2.125,3.5,2,6,-1,-3,-1,biochemistry
1.0,2.5,1.0,3.125,1.5,2.0,-5,3,6,-4,-3,psychology
2.125,2.25,2.625,2.375,2.625,2.0,-2,1,1,3,4,history
2.625,3.25,4.625,4.875,3.875,3.5,3,2,6,2,3,psychology
1.125,3.125,4.375,1.75,2.0,1.75,-5,-1,5,-3,3,economics
1.5,1.5,3.25,3.75,3.25,1.25,5,5,5,3,6,counseling
1.25,4.25,1.375,3.625,2.375,3.5,-2,2,5,-1,3,marketing
2.875,3.75,3.125,3.375,3.125,2.125,-3,1,0,-3,0,political science
2.375,4.5,4.375,3.25,1.125,1.5,-5,1,5,-5,6,music
2.125,1.875,4.0,4.0,2.25,1.5,4,2,3,3,6,literature
1.75,3.5,3.5,2.75,2.625,1.5,0,3,1,5,5,biology
2.875,4.375,3.25,4.0,2.0,2.5,0,0,-1,1,3,biology
2.25,2.375,1.125,4.0,3.75,4.25,0,5,0,-1,0,economics
1.375,2.125,3.5,4.375,2.125,1.625,2,2,0,2,-1,it
3.0,2.125,3.75,4.75,2.75,2.25,-4,0,5,-1,-3,psychology
1.75,4.125,2.125,3.0,1.75,3.125,0,3,4,1,2,psychology
2.375,3.625,2.25,3.875,3.125,2.0,0,2,2,2,2,nursing
1.25,4.125,2.625,1.875,1.375,2.25,-6,-2,-1,-4,3,political science
3.75,3.625,4.0,2.75,2.125,3.125,1,1,6,2,4,nursing
1.0,2.625,4.75,4.75,4.0,3.125,6,1,2,5,6,human services
2.0,2.625,3.0,3.75,2.0,2.125,0,3,-1,-3,2,business
1.375,3.625,2.125,4.5,3.0,2.375,0,1,6,3,4,nursing
1.0,3.125,3.25,3.375,2.875,1.75,0,4,4,-1,1,nursing
2.75,3.75,4.125,2.875,2.625,2.25,3,2,5,5,4,business management
1.25,2.5,4.125,3.5,2.25,1.25,4,1,4,2,6,counselling
2.75,2.375,2.375,3.25,3.875,3.125,0,3,3,2,0,law
2.625,1.75,1.375,3.875,3.625,3.875,3,3,5,5,3,commerce
1.875,1.375,3.875,3.0,3.875,2.75,4,1,1,3,4,business managment
2.125,2.5,2.25,3.125,1.875,2.75,1,4,5,-2,0,astrophysics
1.25,4.0,5.0,4.875,2.5,1.5,0,5,4,1,5,mental health
2.25,3.625,4.0,4.5,3.5,3.25,1,0,5,-2,2,psychology
2.75,3.125,1.875,3.125,1.75,4.125,-5,6,5,0,0,neuroscience
2.0,2.125,1.625,3.875,3.125,3.0,1,0,6,5,0,psychology
2.75,2.625,3.5,2.875,2.875,4.125,-5,0,4,2,3,information technology
3.375,5.0,4.25,5.0,2.5,2.0,1,0,1,-1,6,history
2.875,4.375,4.0,4.75,4.125,3.875,2,2,5,3,3,history
1.125,1.125,1.125,3.125,1.25,1.25,-2,2,1,0,1,psychology
3.75,3.125,3.125,3.375,2.25,2.375,2,-1,1,0,0,history
2.625,3.625,3.25,2.5,2.125,2.5,3,-1,1,1,3,psychology
1.25,3.0,3.0,2.75,2.0,1.0,4,-1,5,5,6,philosophy
3.125,2.625,2.625,2.25,2.875,3.0,1,-2,6,1,3,history
2.25,2.875,3.5,4.125,2.0,2.0,0,6,4,4,5,history
1.0,2.75,2.375,3.75,3.125,3.375,-3,3,4,1,3,premed
1.5,2.75,3.625,2.75,2.875,1.875,1,-1,3,0,2,dental assisting
2.75,3.25,2.875,3.75,2.75,2.375,1,3,0,0,5,social science
3.0,3.75,3.5,4.875,3.25,4.0,2,3,5,1,5,social science
2.0,2.125,3.375,2.625,2.875,2.0,-3,4,3,0,-1,business
3.625,4.25,3.875,3.375,4.125,4.125,2,1,1,3,4,psychology and engineering
1.875,2.875,2.375,3.0,2.25,1.5,-4,5,1,4,2,psychology
1.25,2.625,2.875,4.625,3.125,1.875,1,6,5,5,4,psicologia
1.5,1.25,3.0,3.375,4.5,2.0,-3,5,-1,-4,1,english
2.5,2.5,2.625,2.75,2.125,3.5,-6,-2,4,4,-3,geology
4.25,4.0,2.125,4.0,3.0,1.25,0,0,-5,2,1,psychology
1.75,4.625,3.375,2.0,1.75,2.25,-5,4,3,0,3,biology
2.125,1.875,4.375,4.625,2.5,2.875,6,5,-1,1,4,english
2.25,2.0,4.0,4.125,1.75,1.125,2,2,5,-5,-2,music
3.625,3.375,4.375,3.25,3.0,2.875,-1,5,4,0,4,electrical engineering
2.125,2.625,3.0,2.875,1.875,2.125,0,-1,1,-1,3,philosophy
2.625,2.75,3.625,2.625,2.0,2.625,1,-2,4,0,5,philosophy
1.125,3.0,3.0,3.25,3.5,2.375,4,3,5,5,6,psychology
1.125,1.5,3.75,3.125,2.25,1.125,-5,1,-2,4,1,editor
1.25,2.875,1.5,2.625,3.0,2.625,4,4,-2,-3,1,business
2.25,4.125,3.875,2.875,1.375,1.5,-2,1,5,-3,3,art history
2.375,4.5,1.625,4.625,2.0,3.125,-2,3,5,6,1,psychology
1.625,3.625,3.875,1.625,3.25,3.375,-4,-5,5,-3,-2,nursing
0.875,1.875,1.625,2.875,1.5,1.375,1,3,0,-1,2,journalism
